endpoint	HTTP	records	bytes
/production-execution/runs/	200	0	2
/production-execution/sap/bom/	400	0	51
/production-execution/sap/items/	200	0	2
/production-execution/sap/orders/	200	0	2
/production-execution/waste/	200	0	2
/production-planning/	404		179
/production-planning/daily-entries/	404		179
/production-planning/dropdown/bom/	404		179
/production-planning/dropdown/items/	404		179
/production-planning/dropdown/uom/	404		179
/production-planning/dropdown/warehouses/	404		179
/production-planning/summary/	404		179
/quality-control/arrival-slips/	200	8	8554
/quality-control/inspections/	200	8	6633
/quality-control/inspections/actionable/	200	8	6633
/quality-control/inspections/awaiting-chemist/	200	0	2
/quality-control/inspections/awaiting-qam/	200	0	2
/quality-control/inspections/completed/	200	0	2
/quality-control/inspections/counts/	200	obj	116
/quality-control/inspections/draft/	200	0	2
/quality-control/inspections/pending/	200	8	6633
/quality-control/inspections/rejected/	200	0	2
/quality-control/inspections/return-to-vendor/	200	0	2
/quality-control/material-types/	200	0	2
/quality-control/material-types/link-sap-item/	405		40
/quality-control/print-documents/	200	0	2
/quality-control/production-qc/	200	0	2
/quality-control/production-qc/counts/	200	obj	51
/quality-control/production-qc/pending/	200	0	2
/quality-control/sap-items/	200	0	2
/sap/plan-dashboard/details/	200	obj	872
/sap/plan-dashboard/procurement/	200	obj	119
/sap/plan-dashboard/summary/	200	obj	450
/vehicle-management/transporters/	200	88	13143
/vehicle-management/transporters/names/	200	88	3227
/vehicle-management/vehicle-entries/	400	0	51
/vehicle-management/vehicle-entries/count/	400	0	51
/vehicle-management/vehicle-entries/list-by-status/	400	0	47
/vehicle-management/vehicle-types/	200	7	172
/vehicle-management/vehicles/	200	340	107817
/vehicle-management/vehicles/names/	200	340	13728
/warehouse/bom-requests/	200	0	2
/warehouse/bom-requests/create/	405		40
/warehouse/fg-receipts/	200	0	2
/warehouse/fg-receipts/create/	405		40
/warehouse/stock/check/	405		40
/warehouse/wms/batches/expiry/	200	obj	73335
/warehouse/wms/billing/overview/	200	obj	250270
/warehouse/wms/dashboard/	200	obj	6100
/warehouse/wms/item-groups/	200	obj	339
/warehouse/wms/sales-orders/backlog/	200	obj	110413
/warehouse/wms/stock/movements/	200	obj	27955
/warehouse/wms/stock/overview/	200	obj	16341
/warehouse/wms/transfers/overview/	200	obj	65081
/warehouse/wms/warehouses/	200	obj	1492
/warehouse/wms/warehouses/summary/	200	obj	3948
